INFO  - 2015-01-24 00:13:40.585; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2015-01-24 00:13:40.585; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2015-01-24 00:13:40.585; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2015-01-24 00:13:40.589; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2015-01-24 00:13:40.589; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2015-01-24 00:13:41.213; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2015-01-24 00:13:41.219; org.apache.solr.core.RequestHandlers; created /update: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-01-24 00:13:41.219; org.apache.solr.core.RequestHandlers; created /update/json: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-01-24 00:13:41.220; org.apache.solr.core.RequestHandlers; created /update/csv: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-01-24 00:13:41.220; org.apache.solr.core.RequestHandlers; created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-01-24 00:13:41.224; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2015-01-24 00:13:41.224; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2015-01-24 00:13:41.226; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2015-01-24 00:13:41.227; org.apache.solr.core.RequestHandlers; created /export: solr.SearchHandler
INFO  - 2015-01-24 00:13:41.227; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
WARN  - 2015-01-24 00:13:41.254; org.apache.solr.core.RequestHandlers; Multiple requestHandler registered to the same name: /update ignoring: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-01-24 00:13:41.254; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2015-01-24 00:13:41.255; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2015-01-24 00:13:41.255; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2015-01-24 00:13:41.255; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2015-01-24 00:13:41.256; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2015-01-24 00:13:41.256; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2015-01-24 00:13:41.256; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2015-01-24 00:13:41.258; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2015-01-24 00:13:41.260; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2015-01-24 00:13:41.262; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2015-01-24 00:13:41.269; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2015-01-24 00:13:41.269; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2015-01-24 00:13:41.269; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2015-01-24 00:13:41.269; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2015-01-24 00:13:41.270; org.apache.solr.core.RequestHandlers; created /suggest: solr.SearchHandler
INFO  - 2015-01-24 00:13:41.270; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2015-01-24 00:13:41.270; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2015-01-24 00:13:41.270; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2015-01-24 00:13:41.270; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2015-01-24 00:13:41.270; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2015-01-24 00:13:41.270; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2015-01-24 00:13:41.331; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-01-24 00:13:41.333; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-01-24 00:13:41.334; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-01-24 00:13:41.334; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-01-24 00:13:41.335; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-01-24 00:13:41.366; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2015-01-24 00:13:41.366; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2015-01-24 00:13:41.394; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/Users/nandu/Documents/django/mysite/solr-4.10.2/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/Users/nandu/Documents/django/mysite/solr-4.10.2/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2015-01-24 00:13:41.394; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2015-01-24 00:13:41.400; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@203317c5[collection1] main
INFO  - 2015-01-24 00:13:41.405; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: /Users/nandu/Documents/django/mysite/solr-4.10.2/example/solr/collection1/conf
INFO  - 2015-01-24 00:13:41.406; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=/Users/nandu/Documents/django/mysite/solr-4.10.2/example/solr/collection1/conf}
